"﻿STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE"
"42,001,030101,2646,+40.014703,-077.079619"
"42,001,030103,2375,+39.980422,-077.035924"
"42,001,030104,3424,+39.933532,-077.037199"
"42,001,030200,5346,+39.983182,-077.147585"
"42,001,030300,4437,+39.979094,-077.277792"
"42,001,030400,5543,+39.894753,-077.357412"
"42,001,030500,3775,+39.923848,-077.241395"
"42,001,030600,4851,+39.863645,-077.176339"
"42,001,030700,6424,+39.821270,-077.119875"
"42,001,030801,3425,+39.869285,-076.990317"
"42,001,030802,1542,+39.935672,-076.979137"
"42,001,030803,2714,+39.899006,-077.020883"
"42,001,030901,3567,+39.866391,-077.056424"
"42,001,030902,4237,+39.852881,-077.045891"
"42,001,031000,2310,+39.817787,-077.027392"
"42,001,031101,5177,+39.803731,-077.013815"
"42,001,031102,3465,+39.795220,-077.034044"
"42,001,031201,3789,+39.773999,-077.184112"
"42,001,031202,2844,+39.737161,-077.102569"
"42,001,031203,3055,+39.750773,-077.049214"
"42,001,031300,4803,+39.744454,-077.089694"
"42,001,031401,4745,+39.848155,-077.254578"
"42,001,031402,2288,+39.787330,-077.250773"
"42,001,031501,3157,+39.835561,-077.232451"
"42,001,031502,3949,+39.828504,-077.233487"
"42,001,031600,7138,+39.761203,-077.360032"
"42,001,031700,2826,+39.790055,-077.398775"
"42,003,010301,1807,+40.434601,-079.993324"
"42,003,010302,4075,+40.436586,-079.989139"
"42,003,020100,4729,+40.441236,-080.000707"
"42,003,020300,1845,+40.456719,-079.979720"
"42,003,030500,3041,+40.441945,-079.985136"
"42,003,040200,2534,+40.440343,-079.964775"
"42,003,040400,2220,+40.447546,-079.949528"
"42,003,040500,3781,+40.439152,-079.956401"
"42,003,040600,2054,+40.436809,-079.953234"
"42,003,040900,3326,+40.433835,-079.957968"
"42,003,050100,1757,+40.447411,-079.973983"
"42,003,050600,1723,+40.452912,-079.959588"
"42,003,050900,1386,+40.450489,-079.974695"
"42,003,051000,1703,+40.443546,-079.967996"
"42,003,051100,617,+40.441816,-079.976695"
"42,003,060300,2641,+40.464684,-079.963260"
"42,003,060500,1201,+40.457787,-079.964734"
"42,003,070300,2243,+40.451002,-079.934202"
"42,003,070500,3040,+40.455484,-079.929008"
"42,003,070600,2194,+40.453223,-079.925592"
"42,003,070800,2853,+40.456771,-079.920614"
"42,003,070900,4987,+40.452743,-079.941669"
"42,003,080200,1618,+40.460391,-079.950842"
"42,003,080400,1674,+40.456789,-079.945758"
"42,003,080600,2008,+40.460517,-079.939649"
"42,003,080700,1963,+40.460520,-079.934367"
"42,003,080900,1824,+40.463334,-079.944719"
"42,003,090100,2038,+40.473515,-079.960902"
"42,003,090200,2678,+40.468615,-079.957275"
"42,003,090300,1541,+40.464359,-079.952338"
"42,003,100500,2013,+40.477845,-079.937750"
"42,003,101100,2394,+40.480370,-079.951355"
"42,003,101400,3252,+40.481726,-079.927931"
"42,003,101800,2414,+40.483626,-079.937355"
"42,003,101900,2432,+40.468087,-079.940202"
"42,003,110200,3787,+40.474983,-079.923217"
"42,003,110600,2440,+40.471991,-079.916102"
"42,003,111300,2658,+40.469129,-079.924735"
"42,003,111400,1211,+40.466874,-079.932180"
"42,003,111500,3529,+40.462347,-079.925934"
"42,003,120300,1424,+40.468285,-079.902626"
"42,003,120900,1545,+40.463128,-079.911804"
"42,003,130200,1028,+40.459048,-079.893391"
"42,003,130600,2892,+40.453956,-079.874194"
"42,003,130700,2231,+40.459760,-079.893954"
"42,003,130800,2260,+40.453636,-079.893236"
"42,003,140100,5579,+40.443572,-079.938565"
"42,003,140200,2771,+40.448099,-079.927309"
"42,003,140300,3529,+40.441594,-079.919624"
"42,003,140400,2312,+40.448987,-079.915302"
"42,003,140500,1988,+40.452268,-079.904755"
"42,003,140800,4658,+40.433112,-079.917754"
"42,003,141100,1339,+40.421479,-079.903142"
"42,003,141200,4007,+40.442676,-079.900049"
"42,003,141300,5048,+40.433123,-079.927616"
"42,003,141400,5593,+40.423171,-079.920538"
"42,003,151600,2305,+40.424164,-079.943501"
"42,003,151700,4956,+40.423583,-079.932735"
"42,003,160800,2552,+40.420878,-079.970121"
"42,003,160900,3483,+40.426970,-079.969651"
"42,003,161000,2666,+40.414432,-079.972292"
"42,003,170200,3984,+40.428153,-079.983000"
"42,003,170600,1775,+40.422630,-079.983808"
"42,003,180300,2305,+40.421565,-079.993390"
"42,003,180700,2050,+40.424497,-080.001197"
"42,003,190300,1930,+40.433399,-080.015084"
"42,003,191100,2397,+40.436137,-080.023061"
"42,003,191400,2725,+40.427988,-080.010037"
"42,003,191500,2005,+40.421709,-080.009918"
"42,003,191600,4141,+40.414117,-080.023229"
"42,003,191700,3391,+40.402777,-080.013762"
"42,003,191800,5252,+40.389638,-080.017018"
"42,003,191900,2177,+40.396015,-080.021466"
"42,003,192000,3455,+40.404174,-080.026701"
"42,003,202200,2550,+40.454649,-080.063681"
"42,003,202300,4127,+40.410508,-080.039726"
"42,003,241300,3395,+40.463054,-079.985800"
"42,003,250900,1140,+40.461991,-080.005827"
"42,003,260200,2092,+40.490971,-080.018879"
"42,003,260700,1653,+40.481975,-080.012184"
"42,003,261300,2767,+40.483557,-080.003957"
"42,003,261400,2241,+40.465924,-080.012343"
"42,003,261500,1524,+40.472344,-080.013839"
"42,003,262000,2400,+40.466020,-079.993243"
"42,003,270100,2578,+40.484064,-080.041395"
"42,003,270300,1906,+40.477955,-080.037051"
"42,003,270800,2621,+40.485259,-080.032795"
"42,003,271600,4046,+40.470771,-080.029962"
"42,003,281400,2552,+40.446775,-080.053163"
"42,003,281500,1447,+40.440559,-080.054605"
"42,003,290100,2130,+40.397494,-079.991492"
"42,003,290200,4141,+40.398445,-079.985015"
"42,003,290400,4019,+40.386964,-079.982382"
"42,003,300100,3493,+40.413175,-079.992907"
"42,003,310200,3155,+40.371050,-079.913380"
"42,003,320400,1870,+40.386452,-079.992886"
"42,003,320600,2243,+40.394433,-080.006538"
"42,003,320700,1613,+40.382953,-080.000792"
"42,003,401100,4601,+40.637986,-079.713787"
"42,003,401200,2911,+40.615336,-079.726239"
"42,003,401300,2645,+40.622052,-079.733067"
"42,003,402000,3240,+40.608410,-079.741433"
"42,003,403500,4352,+40.603587,-079.755794"
"42,003,404000,1490,+40.582244,-079.779724"
"42,003,405000,1161,+40.606774,-079.794685"
"42,003,406000,2210,+40.648846,-079.763451"
"42,003,407001,5586,+40.641390,-079.869242"
"42,003,407002,6676,+40.611585,-079.881920"
"42,003,408001,5633,+40.651295,-079.949207"
"42,003,408002,6309,+40.625351,-079.942240"
"42,003,409001,9192,+40.632376,-080.040422"
