"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US420030103011000","Block 1000, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011001","Block 1001, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011002","Block 1002, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011003","Block 1003, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011004","Block 1004, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011005","Block 1005, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011006","Block 1006, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011007","Block 1007, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011008","Block 1008, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011009","Block 1009, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011010","Block 1010, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011011","Block 1011, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011012","Block 1012, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011013","Block 1013, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011014","Block 1014, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011015","Block 1015, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011016","Block 1016, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011017","Block 1017, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011018","Block 1018, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011019","Block 1019, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030103011020","Block 1020, Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","0","0","0",
