"fid","updatepknm","sum_Total","sum_Hispanic.or.Latino","sum_Not.Hispanic.or.Latino","sum_Population.of.one.race","sum_White.alone","sum_Black.or.African.American.alone","sum_American.Indian.and.Alaska.Native.alone","sum_Asian.alone","sum_Native.Hawaiian.and.Other.Pacific.Islander.alone","sum_Some.Other.Race.alone","sum_Population.of.two.or.more.races","sum_Total.parcels","sum_Occupied","sum_Vacant","sum_Poverty.status.determined.total","sum_Below.poverty.level.","sum_Under.5.years","sum_X5.to.9.years","sum_X10.to.14.years","sum_X15.to.19.years","sum_X20.to.24.years","sum_X25.to.29.years","sum_X30.to.34.years","sum_X35.to.39.years","sum_X40.to.44.years","sum_X45.to.49.years","sum_X50.to.54.years","sum_X55.to.59.years","sum_X60.to.64.years","sum_X65.to.69.years","sum_X70.to.74.years","sum_X75.to.79.years","sum_X80.to.84.years","sum_X85.years.and.over","sum_Total_pct","sum_Hispanic.or.Latino_pct","sum_Not.Hispanic.or.Latino_pct","sum_Population.of.one.race_pct","sum_White.alone_pct","sum_Black.or.African.American.alone_pct","sum_American.Indian.and.Alaska.Native.alone_pct","sum_Asian.alone_pct","sum_Native.Hawaiian.and.Other.Pacific.Islander.alone_pct","sum_Some.Other.Race.alone_pct","sum_Population.of.two.or.more.races_pct","sum_Poverty.status.determined.total_pct","sum_Below.poverty.level._pct","sum_Under.5.years_pct","sum_X5.to.9.years_pct","sum_X10.to.14.years_pct","sum_X15.to.19.years_pct","sum_X20.to.24.years_pct","sum_X25.to.29.years_pct","sum_X30.to.34.years_pct","sum_X35.to.39.years_pct","sum_X40.to.44.years_pct","sum_X45.to.49.years_pct","sum_X50.to.54.years_pct","sum_X55.to.59.years_pct","sum_X60.to.64.years_pct","sum_X65.to.69.years_pct","sum_X70.to.74.years_pct","sum_X75.to.79.years_pct","sum_X80.to.84.years_pct","sum_X85.years.and.over_pct","sum_Total.parcels_pct","sum_Vacant_pct","sum_Occupied_pct"
1,"Able Long Park",4653930.567352,412781.415758327,4241149.15159367,3989020.64060293,3354187.05653843,476428.291665113,2718.276366754,124709.321535541,871.235240382689,30106.4592567114,252128.510990744,7166049.06602426,6471959.12714053,694089.938883727,4333957.55431373,334648.720008165,149646.255168669,210089.347771723,185856.921542871,158582.76502047,157539.814902122,503159.11888001,391937.088829438,279992.843749882,372468.936162053,260847.3395226,217854.830711941,334355.601773297,284193.099347798,246006.220584426,201360.806477321,146359.782562725,50586.2509250064,192967.977927716,100,8.86952243452124,91.1304775654788,85.7129384049365,72.072133608278,10.2371164496378,0.0584081848109875,2.67965582491487,0.0187204176722044,0.646903919622536,5.41753916054233,93.1246715350047,7.19066851482001,3.21548104345302,4.51423468251826,3.99354736503128,3.40750173913102,3.38509164720433,10.8114874426736,8.42163593025932,6.01626602928012,8.00331957625188,5.60488249121039,4.68109327286109,7.18437022070871,6.10651781832445,5.28598819909767,4.32668265164712,3.14486390470584,1.08695757688944,4.14634415221866,100,9.68581058388999,90.31418941611
2,"Albert Turk Graham Park",7814609.4709127,267482.73792312,7547126.73298958,7263007.57000631,2389431.98779806,4095883.5935476,20557.0363041891,704465.142926305,4338.38071700763,48331.4287131425,284119.162983265,15103411.9946569,13282519.4635108,1820892.53114608,7312428.98642144,2316815.1086164,203635.838527978,234268.615942905,307331.939311038,420507.211219718,1101214.91890617,998310.265562815,992808.385049286,467348.88271652,292927.955269955,301021.328157756,316077.295228516,369003.45333652,359477.969409131,493871.419792991,168582.77326533,290679.388726474,95774.1889057643,213709.96996943,100,3.42285483258934,96.5771451674107,92.9414015766297,30.5764734206097,52.4131578013358,0.263059035524499,9.01471974445357,0.055516283099697,0.618475291606578,3.6357435907809,93.5738249446698,29.6472282746819,2.60583512568281,2.99782883348032,3.9327869224301,5.38103935692394,14.0917460175723,12.7749220134249,12.7045169530824,5.98045090360653,3.74846569569833,3.85203290424439,4.0446972610085,4.72196921304915,4.60007593146106,6.31984773687367,2.15727700651995,3.71969181324328,1.22557869669946,2.73474919975073,100,12.0561667243816,87.9438332756184
3,"Alcoa Park",4633171.1536532,252978.537523012,4380192.61613019,4222155.36986832,3105630.7027449,656511.448064468,6771.53381774197,407458.60602453,1145.74019973342,44637.3390169511,158037.246261868,9904615.46178217,8138773.4326421,1765842.02914007,3482869.52608056,524080.939640864,22496.0925741873,26915.3558417821,79036.5974482482,568188.894147435,814623.599185348,773599.115306213,399311.916555344,352767.81629218,173284.782645048,114167.157689225,143373.491564935,98957.7337802495,281679.114647168,300894.091732659,128234.831843037,66622.7895537779,42361.1370340967,34373.9916670842,100,5.46015955666868,94.5398404433313,91.1288452303171,67.0303470290785,14.1698078118011,0.146153327670675,8.79437846156953,0.0247290713365946,0.963429528860705,3.41099521301425,75.1724771344645,11.3114953508167,0.485544173269951,0.580927294700945,1.70588555499248,12.2634989147643,17.5824197330381,16.6969682243713,8.618544476616,7.61396038680822,3.74009025132636,2.46412562590539,3.09450022047829,2.13585318777232,6.0796181558082,6.49434440804993,2.76775512041954,1.43795226518335,0.914301147728926,0.741910681196845,100,17.828476390161,82.171523609839
7,"Allegheny Landing Park",5146196.78650036,280290.065389293,4865906.72111106,4687974.54969504,3418724.13067642,751818.646738437,8004.14436062332,458511.692410173,1372.54603713885,49543.3894722438,177932.171416027,10990075.2551404,9060322.24015042,1929753.01498994,3895384.22624811,599633.396799749,23320.932708797,31241.7801205398,94623.9193408591,623944.059425625,913683.439404612,862852.551463977,451488.595223304,381526.54203706,188770.693991569,125187.376076323,164652.04492554,108109.727615111,310493.700010028,335633.395015468,146594.087075486,74848.9942147689,48245.3467879481,38521.5504438913,100,5.44654775201285,94.5534522479871,91.0959052711054,66.4320521058291,14.6092090514422,0.155535139690344,8.90971937981371,0.026671075632773,0.962718518697291,3.45754697688171,75.6944280962319,11.651971770157,0.453168304212018,0.607084832093754,1.83871552656282,12.1243723338053,17.754537521795,16.766800557014,8.773247778003,7.41375734091419,3.66815926057779,2.4326192967342,3.19948987099483,2.10076940506254,6.03345952149602,6.52196969800903,2.8485907779515,1.45445262433638,0.937495179245896,0.748544061605692,100,17.5590518735287,82.4409481264713
8,"Allegheny Riverfront Park",7310749.56310539,413993.64826333,6896755.91484206,6675136.10477182,5168901.31226828,857604.209146493,6010.93337848644,563813.512050527,308.772414324811,78497.3655137123,221619.810070238,15604121.3155332,12357886.111629,3246235.20390422,5004024.61595135,651463.598785438,30043.8473830113,30982.3439933561,55303.2801550779,1092385.61123901,1316855.54575755,1104345.07599825,407092.303750648,582091.55399631,325030.021512692,176794.960848701,183534.776608408,152152.153801659,499513.030861999,495218.14075541,171639.124728078,104521.308248199,50560.3636407004,53723.8329326088,100,5.66280714022267,94.3371928597773,91.305768952321,70.702754452892,11.7307288636243,0.0822204799466989,7.71211634571484,0.00422353975689537,1.07372527038621,3.03142390745635,68.4474905446738,8.9110370032798,0.410954405203966,0.423791619804793,0.756465252676316,14.9421834493123,18.012592749767,15.1057708442301,5.56840718228251,7.96213232270885,4.44591924134561,2.41828774631973,2.51047823515443,2.08121140641328,6.83258298687804,6.77383538419358,2.34776370393368,1.42969345818764,0.691589326159654,0.734860802833855,100,20.803703959112,79.196296040888
9,"Alpine Gardens Park",345029.33491704,12855.2567392506,332174.07817779,317411.5603389,121629.128233359,179357.339952642,781.150301263697,12582.954001769,281.348307793247,2779.63954207285,14762.5178388904,615615.51627873,529272.535446297,86342.9808324327,317554.896528819,88035.6841297434,4747.69854490119,14256.1870067321,18607.3230451387,19189.213268654,29139.524009632,28423.1544848832,41304.4949638998,22613.3732383237,5563.85939822466,17377.943120923,22146.909146471,26071.3476631699,23146.5416064061,20300.7745118229,13919.4322571017,6635.85378733382,4224.23788983226,7068.83796821538,100,3.72584456980782,96.2741554301922,91.9955285585264,35.2518223595693,51.9832147013723,0.226401126574214,3.64692295070924,0.0815433006184517,0.805624119682807,4.27862687166583,92.0370717478769,25.5154200586773,1.37602750387666,4.13187678959527,5.39296841226926,5.56161790511752,8.44552073134257,8.23789504498721,11.9712994762695,6.55404365653748,1.61257575375799,5.0366567019878,6.41884816889442,7.55626986599229,6.70857207314605,5.88378217658044,4.03427501619494,1.92327234695257,1.22431267789098,2.04876433765118,100,14.0254718325422,85.9745281674578
10,"Alton Park",2609539.40169936,324967.528320431,2284571.87337893,2161643.4688424,1741473.00983049,359002.745000752,4404.15406158341,42262.611073174,1.2062783906818,14499.7425980076,122928.404536531,3866451.21236009,3503386.38390671,363064.828453377,2352625.4188421,184656.525545359,69971.1970207598,148017.797357147,107131.731298141,84455.2579996885,122798.126470338,157813.535028287,266453.989509575,121079.510847212,231234.026079206,56300.8615015459,168153.485624024,162649.024299739,163822.914544272,182643.577994906,65653.8950033054,47974.5522806564,18296.4448046828,188871.293899605,100,12.453060801029,87.546939198971,82.836207318223,66.7348808259582,13.7573222602795,0.168771318751323,1.61954293718087,4.62257205197306e-05,0.555643750332536,4.71073188074796,90.1548149573846,7.07621143505663,2.68136196660582,5.67218097035654,4.1053885305727,3.2364047825716,4.70573950293183,6.04756283524659,10.2107670547552,4.63988053862545,8.86110498767036,2.1575018742726,6.44379945037506,6.23286332422573,6.27784790057544,6.99907339494344,2.51591889973192,1.8384298872596,0.701136943660169,7.23772531568635,100,9.39013085934587,90.6098691406541
11,"Ammon Park",6278025.9557028,128792.883371985,6149233.07233081,5931348.59115338,1504425.57696003,4269886.05374431,16863.4200993787,116753.908890738,757.873975880229,22661.7574830416,217884.481177431,11425846.9335305,10093782.3886775,1332064.54485305,6628664.68974058,2846907.4058836,741748.713676005,395403.474644419,425141.917269355,485372.901397611,352110.554506871,554204.317425482,510828.908192318,455751.96145204,252712.163409398,254160.973278885,235535.491685914,222666.971704624,415717.28353935,462519.971082124,315845.767047668,302748.613506776,133409.126890424,117438.223049366,100,2.05148695275771,97.9485130472423,94.4779240003858,23.9633538882306,68.0131952921548,0.268610232234869,1.85972325878458,0.0120718515856373,0.360969477395299,3.47058904685653,105.585174966014,45.347174828061,11.8149991559404,6.29821344216083,6.77190442137575,7.73129809947202,5.6086189670341,8.82768439213057,8.1367759833534,7.25947877036168,4.02534435493756,4.04842182992269,3.75174447107789,3.54676730035433,6.62178344709969,7.36728351149906,5.03097262222628,4.82235364496648,2.12501712850102,1.87062340738952,100,11.6583440387596,88.3416559612404
12,"Arlington Park",2434428.65817021,105295.179731426,2329133.47843878,2205625.11548066,1889893.41617721,262632.324917827,72.4058977882413,35062.691855762,4662.65699462836,13301.6196374394,123508.362958124,4269430.60870761,3667251.06284418,602179.545863432,2332313.3192113,358712.304189221,1303.30616018834,27144.7788257481,138428.582518001,79916.8219887764,254222.617428722,368214.11887532,261054.441991912,328555.157192547,121779.649506462,91203.1139484862,43200.8319442259,205950.363274233,143097.2582428,73852.7827650758,68063.3203071017,87321.8750041021,25627.2643372803,13377.034900313,100,4.32525222614528,95.6747477738547,90.6013453332608,77.6319079975716,10.7882530891347,0.00297424603285207,1.44028422184761,0.191529826884841,0.546395951789253,5.07340244059389,95.8053673655129,14.7349688390064,0.0535364285913372,1.11503694037807,5.68628626899455,3.28277527133797,10.4428041699034,15.1252786825177,10.7234377608801,13.4961916460308,5.00239138648638,3.74638680178195,1.77457785830935,8.45990547240074,5.87806332966669,3.03368030594028,2.79586424020576,3.58695559679025,1.05270139058183,0.549493814715752,100,14.1044462611776,85.8955537388224
13,"Arlington Rec Center",2150710.13411174,92295.1823716195,2058414.95174012,1948495.09594802,1668494.16171687,233440.282007517,23.913575812664,30577.3698766382,4178.43752984685,11780.9312413342,109919.855792103,3765719.37567383,3242301.78348085,523417.592192977,2061575.95858782,316887.257305176,430.444364627952,24268.4166792494,125929.259135124,71248.6601897104,221691.90999958,326885.52343836,227642.159559779,294262.439119631,106182.715704683,78142.392284402,35903.6590454929,185168.705403173,127998.887153027,62913.4912856146,59946.0004646294,79499.0278683545,22711.8268312115,10750.4400611749,100,4.29138175841339,95.7086182415866,90.597754901674,77.5787557445983,10.8541024801527,0.00111189208779827,1.42173365864884,0.194281761338916,0.547769364847478,5.11086333991264,95.8555932707905,14.7340756096847,0.0200140575803688,1.12839086468863,5.85524088708188,3.31279697155175,10.307846998226,15.1989576955876,10.5845114108693,13.6821059450284,4.93710026379437,3.63332980325939,1.66938624020207,8.60965420054844,5.95147087108005,2.92524270415447,2.78726544846024,3.69640829823811,1.05601524217449,0.499855368264905,100,13.8995379096542,86.1004620903458
14,"Armstrong Park",10248049.1053778,425656.830893179,9822392.27448462,9394212.92451541,8598064.66034712,401701.875251629,409.827470006935,313057.733604971,819.65494001387,80159.1729016727,428179.349969209,19716868.5805959,16643460.1764198,3073408.40417613,10283537.0840487,2396717.14693565,7376.89446012483,234739.934124921,163868.2837478,199240.554680373,2493806.35461958,2787873.51531863,950532.662236762,862367.602702914,661764.756713729,313686.72577702,242740.12037028,221504.046959539,204296.993606064,455701.344715661,339962.136953005,110815.577735757,9356.77716735572,23902.802159194,100,4.15354011789239,95.8464598821076,91.668305137079,83.8995263579989,3.91978874340903,0.00399907792978737,3.0548032155768,0.00799815585957473,0.782189586304853,4.17815474502865,100.346290091958,23.3870575978987,0.0719834027361726,2.29058166789753,1.59901930662889,1.94418032770568,24.3344496984399,27.2039437618976,9.27525475788321,8.41494409165522,6.45747058692819,3.06094089276377,2.36864712370376,2.16142647914618,1.99352083021203,4.44671312588194,3.31733516747695,1.08133339913063,0.0913030087106592,0.233242463159654,100,15.5877105515669,84.4122894484331
