Tract,Total,Hispanic or Latino,Not Hispanic or Latino,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Total parcels,Occupied,Vacant,Poverty status determined total,Below poverty level!,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Occupied (%),Vacant (%),Hispanic or Latino (%),Not Hispanic or Latino (%),Population of one race (%),White alone (%),Black or African American alone (%),American Indian and Alaska Native alone (%),Asian alone (%),Native Hawaiian and Other Pacific Islander alone (%),Some Other Race alone (%),Population of two or more races (%),Below poverty level (%),Under 5 years (%),5 to 9 years (%),10 to 14 years (%),15 to 19 years (%),20 to 24 years (%),25 to 29 years (%),30 to 34 years (%),35 to 39 years (%),40 to 44 years (%),45 to 49 years (%),50 to 54 years (%),55 to 59 years (%),60 to 64 years (%),65 to 69 years (%),70 to 74 years (%),75 to 79 years (%),80 to 84 years (%),85 years and over (%)
201,"4,729",271,"4,458","4,316","3,324",577,4,357,0,54,142,10035,7878,2157,3146,423,10,21,36,758,903,681,204,343,216,106,124,89,336,335,116,71,31,36,79%,21%,6%,94%,91%,70%,12%,0%,8%,0%,1%,3%,13%,0%,0%,1%,16%,19%,14%,4%,7%,5%,2%,3%,2%,7%,7%,2%,2%,1%,1%
203,"1,845",88,"1,757","1,698","1,470",51,0,174,1,2,59,4284,3723,561,1717,123,63,0,0,4,32,457,417,352,57,94,7,94,59,41,8,6,20,6,87%,13%,5%,95%,92%,80%,3%,0%,9%,0%,0%,3%,7%,3%,0%,0%,0%,2%,25%,23%,19%,3%,5%,0%,5%,3%,2%,0%,0%,1%,0%
305,"3,041",92,"2,949","2,835",714,"1,810",9,284,2,16,114,5778,5190,588,2989,1011,90,105,136,106,404,381,433,174,109,126,131,159,126,187,63,125,40,94,90%,10%,3%,97%,93%,23%,60%,0%,9%,0%,1%,4%,34%,3%,3%,4%,3%,13%,13%,14%,6%,4%,4%,4%,5%,4%,6%,2%,4%,1%,3%
402,"2,534",112,"2,422","2,363","1,510",603,6,197,0,47,59,2295,1707,588,1110,685,132,9,20,720,672,44,127,7,16,35,51,36,77,77,8,34,9,35,74%,26%,4%,96%,93%,60%,24%,0%,8%,0%,2%,2%,62%,5%,0%,1%,28%,27%,2%,5%,0%,1%,1%,2%,1%,3%,3%,0%,1%,0%,1%
404,"2,220",96,"2,124","2,062","1,485",103,0,468,0,6,62,3318,2973,345,1365,260,0,0,0,183,188,141,71,12,12,51,58,23,22,100,170,145,196,129,90%,10%,4%,96%,93%,67%,5%,0%,21%,0%,0%,3%,19%,0%,0%,0%,8%,8%,6%,3%,1%,1%,2%,3%,1%,1%,5%,8%,7%,9%,6%
405,"3,781",150,"3,631","3,475","2,881",191,2,385,0,16,156,4380,3750,630,2142,1759,0,0,0,580,1978,71,15,0,0,0,3,87,32,21,32,15,9,17,86%,14%,4%,96%,92%,76%,5%,0%,10%,0%,0%,4%,82%,0%,0%,0%,15%,52%,2%,0%,0%,0%,0%,0%,2%,1%,1%,1%,0%,0%,0%
406,"2,054",69,"1,985","1,898","1,552",94,2,241,1,8,87,3525,3009,516,2309,1761,0,0,0,412,1648,45,20,0,20,25,52,0,20,0,0,0,0,67,85%,15%,3%,97%,92%,76%,5%,0%,12%,0%,0%,4%,76%,0%,0%,0%,20%,80%,2%,1%,0%,1%,1%,3%,0%,1%,0%,0%,0%,0%,3%
409,"3,326",180,"3,146","3,006","1,860",565,6,563,0,12,140,5679,4896,783,3335,1851,34,66,14,236,1852,326,149,85,19,29,119,90,167,154,8,20,34,12,86%,14%,5%,95%,90%,56%,17%,0%,17%,0%,0%,4%,56%,1%,2%,0%,7%,56%,10%,4%,3%,1%,1%,4%,3%,5%,5%,0%,1%,1%,0%
501,"1,757",23,"1,734","1,687",81,"1,597",0,5,0,4,47,3279,2778,501,1801,937,329,60,120,124,28,177,108,98,93,29,5,43,82,240,142,61,44,23,85%,15%,1%,99%,96%,5%,91%,0%,0%,0%,0%,3%,52%,19%,3%,7%,7%,2%,10%,6%,6%,5%,2%,0%,2%,5%,14%,8%,3%,3%,1%
506,"1,723",44,"1,679","1,618",386,"1,130",12,72,0,18,61,3321,2532,789,1639,191,77,149,67,41,104,110,218,105,31,29,34,201,110,171,41,78,12,61,76%,24%,3%,97%,94%,22%,66%,1%,4%,0%,1%,4%,12%,4%,9%,4%,2%,6%,6%,13%,6%,2%,2%,2%,12%,6%,10%,2%,5%,1%,4%
509,"1,386",25,"1,361","1,316",51,"1,255",7,3,0,0,45,2478,2238,240,1539,827,221,178,103,162,70,129,101,47,15,75,72,21,116,40,60,88,23,18,90%,10%,2%,98%,95%,4%,91%,1%,0%,0%,0%,3%,54%,16%,13%,7%,12%,5%,9%,7%,3%,1%,5%,5%,2%,8%,3%,4%,6%,2%,1%
510,"1,703",51,"1,652","1,574",453,"1,018",4,87,0,12,78,2499,2304,195,1244,417,11,38,16,800,287,135,150,174,0,47,9,68,213,24,52,42,33,0,92%,8%,3%,97%,92%,27%,60%,0%,5%,0%,1%,5%,34%,1%,2%,1%,47%,17%,8%,9%,10%,0%,3%,1%,4%,13%,1%,3%,2%,2%,0%
511,617,14,603,577,42,528,1,0,1,5,26,765,699,66,848,736,28,62,203,119,63,13,115,86,0,0,0,96,30,2,14,0,17,0,91%,9%,2%,98%,94%,7%,86%,0%,0%,0%,1%,4%,87%,5%,10%,33%,19%,10%,2%,19%,14%,0%,0%,0%,16%,5%,0%,2%,0%,3%,0%
603,"2,641",74,"2,567","2,455","2,110",185,3,143,0,14,112,5115,4557,558,2659,432,16,0,46,28,471,664,444,300,75,81,57,81,79,108,56,84,36,33,89%,11%,3%,97%,93%,80%,7%,0%,5%,0%,1%,4%,16%,1%,0%,2%,1%,18%,25%,17%,11%,3%,3%,2%,3%,3%,4%,2%,3%,1%,1%
605,"1,201",36,"1,165","1,090",980,81,0,17,1,11,75,2325,2025,300,975,141,5,9,6,5,69,75,103,191,89,70,26,44,57,118,96,0,12,0,87%,13%,3%,97%,91%,82%,7%,0%,1%,0%,1%,6%,14%,0%,1%,0%,0%,6%,6%,9%,16%,7%,6%,2%,4%,5%,10%,8%,0%,1%,0%
703,"2,243",115,"2,128","2,039","1,581",102,0,341,0,15,89,3861,3573,288,2112,377,23,22,58,47,532,395,273,72,70,118,98,29,82,82,185,66,16,79,93%,7%,5%,95%,91%,70%,5%,0%,15%,0%,1%,4%,18%,1%,1%,3%,2%,24%,18%,12%,3%,3%,5%,4%,1%,4%,4%,8%,3%,1%,4%
705,"3,040",135,"2,905","2,790","2,143",129,1,501,0,16,115,6015,5595,420,2918,461,9,107,0,35,660,782,399,393,40,124,39,36,84,111,29,48,22,0,93%,7%,4%,96%,92%,70%,4%,0%,16%,0%,1%,4%,16%,0%,4%,0%,1%,22%,26%,13%,13%,1%,4%,1%,1%,3%,4%,1%,2%,1%,0%
706,"2,194",108,"2,086","1,993","1,596",58,0,327,3,9,93,4200,3987,213,2201,307,30,69,14,44,357,487,476,69,122,48,87,56,38,58,125,86,0,53,95%,5%,5%,95%,91%,73%,3%,0%,15%,0%,0%,4%,14%,1%,3%,1%,2%,16%,22%,22%,3%,6%,2%,4%,3%,2%,3%,6%,4%,0%,2%
708,"2,853",154,"2,699","2,595","1,694",97,3,791,0,10,104,5544,5211,333,2576,195,78,66,0,55,225,377,604,469,28,45,209,83,116,85,37,37,53,9,94%,6%,5%,95%,91%,59%,3%,0%,28%,0%,0%,4%,8%,3%,2%,0%,2%,8%,13%,21%,16%,1%,2%,7%,3%,4%,3%,1%,1%,2%,0%
709,"4,987",203,"4,784","4,623","2,618",274,0,"1,703",1,27,161,8652,7938,714,3790,1085,128,114,119,341,779,674,225,322,140,210,105,141,197,238,94,86,89,250,92%,8%,4%,96%,93%,52%,5%,0%,34%,0%,1%,3%,29%,3%,2%,2%,7%,16%,14%,5%,6%,3%,4%,2%,3%,4%,5%,2%,2%,2%,5%
