"updatepknm","scaled_index_sum_Hispanic.or.Latino_pct","scaled_index_sum_White.alone_pct","scaled_index_sum_Black.or.African.American.alone_pct","scaled_index_sum_Asian.alone_pct","scaled_index_sum_Below.poverty.level._pct","scaled_index_sum_Vacant_pct","median_age","rank_scaled_index_sum_Hispanic.or.Latino_pct","rank_scaled_index_sum_White.alone_pct","rank_scaled_index_sum_Black.or.African.American.alone_pct","rank_scaled_index_sum_Asian.alone_pct","rank_scaled_index_sum_Below.poverty.level._pct","rank_scaled_index_sum_Vacant_pct","rank_median_age"
"Able Long Park",2.25455554500406,0.547161488564169,-0.686136300297119,-0.448825878923635,-0.978643114923463,-0.535615560683014,42.7954860025965,158,105,50,79,17,46,131
"Albert Turk Graham Park",-0.184363134847721,-1.35887622174782,1.14972759595681,1.04494949448391,0.880306574713091,-0.147300393956459,38.4962980957992,79,18,138,141,138,85,76
"Alcoa Park",0.727904862990988,0.315574973158999,-0.514951763875125,0.992994157284852,-0.637521863505692,0.798327713134469,36.1225314202551,150,89,75,139,44,142,34
"Allegheny Landing Park",0.72180974445836,0.288093239395899,-0.495825244505999,1.02019095046763,-0.609337291121079,0.754190199657445,36.1297372082635,149,84,76,140,47,141,35
"Allegheny Riverfront Park",0.818646764843296,0.484261216630272,-0.621121447836953,0.737802336528386,-0.836231342956548,1.28573379095999,36.0734728077197,151,102,60,134,26,153,30
"Alpine Gardens Park",-0.048689841760508,-1.14412144145944,1.13101277613566,-0.220749283269722,0.538276286774332,0.175314013367262,40.6125925241015,97,22,136,90,129,109,113
"Alton Park",3.85919884266762,0.302003199081348,-0.532906681110011,-0.698795026013838,-0.988117849930876,-0.584054240243715,43.6067128105731,160,87,72,54,16,39,145
"Ammon Park",-0.798436726906792,-1.66263943829887,1.82877533708506,-0.642161745885095,2.17994512508801,-0.212472280938334,37.0459090553786,10,11,155,56,156,77,58
"Arlington Park",0.219714003807207,0.802540957137359,-0.662146095765647,-0.741063305834603,-0.354127387842321,0.188251718338604,39.1693802642333,122,122,55,49,78,110,93
"Arlington Rec Center",0.204547424444566,0.800099492220378,-0.65927976417819,-0.745437432887007,-0.35420132919345,0.154683336218198,39.1492934870461,120,121,56,48,77,108,92
"Armstrong Park",0.142824445093148,1.09043412222474,-0.96112071052089,-0.360368060551742,0.362090852397593,0.431242216847664,33.6771946095882,113,147,17,83,115,125,11
"Arsenal Park",-0.20468076523792,1.04643886759311,-0.889273835482695,-0.147223557423663,-0.45031700873355,-0.273034400040338,41.5300086866715,75,144,32,92,63,73,118
"August Wilson Park",-0.459114844684351,-1.73804602583244,1.60837176491897,0.673864584592257,1.49023987836573,-0.403818314515543,37.9200701448092,55,9,149,126,146,59,66
"Banksville Park",-0.0100530576018902,0.759984775593495,-0.932176873195993,1.11106954294721,-1.19248924917632,-1.29273250401114,39.8725204990886,100,116,23,144,5,2,108
"Baxter Park",-0.76388733435572,-2.61302469484223,2.69491347726767,-0.90513341112764,0.933875571731476,1.82877447649457,37.9137177472522,14,4,159,20,140,161,64
"Beechview Senior Center Park",2.95669873287069,0.444729761576226,-0.618032517567871,-0.601476472991814,-0.974553092920376,-0.52632822530422,43.2077875932968,159,94,61,65,19,49,140
"Blair Street Park",-0.75392906326237,-1.0218696237242,1.16975233577805,-0.641634742613093,0.509561566552746,0.743474115292521,44.9457263568411,15,28,139,57,122,135,155
"Bon Air Park",0.274691802579953,-1.12533558065817,1.11264564179689,-0.806232391505621,2.21129634607058,0.867687732523446,34.9433939413094,126,24,135,38,157,146,19
"Boundary Street Park",-0.624855283743397,1.09545847065702,-0.996761873633111,0.437602805217113,1.89026667614205,-0.374748281242382,32.4466226468772,34,148,10,114,152,61,6
"Brighton Heights Park",-0.466248225127401,0.536375714917015,-0.289131695434036,-0.827969680045882,-1.13026623598916,-1.14212761982585,41.9241610725535,50,103,85,29,10,7,123
"Brighton Heights Senior Center",-0.299290775719681,-0.0723511311440852,0.253485821133709,-0.806164806057573,-0.0408579187746665,-0.602689754984189,39.0466012671636,71,61,110,39,100,36,89
"Bud Hammer Park",-0.124078762966321,1.17236882185344,-0.997664205428593,-0.497581364506026,-0.48571686926486,-0.541276162894952,43.2212281415209,88,155,9,74,60,43,141
"Buhl Community Park at Allegheny Square",0.362992957523446,-0.21697253293945,-0.196289850440098,1.92844760033171,0.0276229989379972,-1.02559813747008,36.2692307692308,132,54,91,156,102,13,41
"Burgwin Park",-0.75392906326237,-1.0218696237242,1.16975233577805,-0.641634742613093,0.509561566552746,0.743474115292521,44.9457263568411,15,28,139,57,122,135,155
"Catalano Park",-0.504312865408306,0.170639083493799,0.0181368165983073,-0.93330311720692,1.28201808302618,0.138143047040465,38.9104369808595,45,74,96,14,143,105,82
"Chadwick Park",-1.0551745612393,-2.5905836063032,2.79427757368943,-0.909899037081502,1.57698261380824,0.358996968750296,42.0734484418926,2,7,160,19,149,118,124
"Chartiers Park",0.0390919572252404,-0.617511636231411,0.419516047785427,0.516144201461309,-0.261344729001036,-0.651209823690178,39.7972989733286,103,47,118,119,86,34,107
"Cobden Street Park",0.195492432703029,0.798641850115857,-0.657568461436,-0.748048943590175,-0.354245474831548,0.134589622132381,39.1373109930527,118,119,57,45,75,103,90
"Crafton Heights Park",-0.27938441006239,0.382022570032673,-0.674102976500342,1.88098872038328,-1.14949823036602,-1.14572084264461,39.7774229517068,73,92,54,153,8,5,104
"Cross and Strauss Park",-0.135378855575994,-1.55104769343593,1.67829168188311,-1.00385291591109,0.55186558780258,0.83026678918629,42.1218622808128,85,14,152,4,132,143,125
"Curtain Call Park",0.702174883603595,0.231325312144207,-0.376469208905755,0.757087303993727,-0.609758864536038,1.17510117052689,36.4079387170534,146,80,82,136,46,152,48
"Dallas Park",0.316288413981035,-0.621365646608436,0.524086918183454,0.128670078910385,-0.990837563750597,0.35952689886064,38.553110751166,130,45,122,103,13,119,77
"Davis Park",-0.025572469591562,0.256426218958431,-0.989133873841482,4.18903286043614,0.219923022932398,-1.12899686281311,39.324773103078,99,82,13,163,112,8,96
"Denny Park",0.12122244927939,0.916738006325178,-0.947599191501679,0.601531212331339,-0.815868811182324,-0.0291068528913292,37.915372393616,112,134,19,123,31,94,65
"Dinan Park",-0.843869341969233,0.591464927382857,-0.344775924820058,-0.563141570181655,-1.20971268485132,-0.933647405942383,41.5338940154652,6,108,83,69,4,18,119
"Dunbar Park",-0.742454933564102,0.447774074042101,-0.264263635990423,-0.597331990786832,-0.368124061062564,-0.747456990966708,35.9614476133392,23,95,86,66,73,27,24
"Duncan Park",-0.576163523481859,0.983055638036814,-0.777871537909918,-0.391152887384688,-0.578698133447155,-0.0887516684575132,39.4866577503922,38,139,44,82,51,88,99
"East Carnegie Park",-0.342521049964409,0.58158943509364,-0.748321736078701,0.702547472789405,-0.563721058174838,-1.0310600911541,43.0470506504173,68,107,47,132,53,12,137
"East Hills Park",-1.19061745563411,-2.6617075793964,2.86590344514058,-1.04806149725627,4.22814341034008,0.376228896757635,30.5490861618799,1,1,163,2,163,121,2
"Liberty Green",-0.0797410222326248,-0.926163337418774,0.559137731165514,1.83097043444426,-0.601457335401021,-0.483392679919183,36.7919525452095,95,33,123,152,48,52,55
"Eleanor Street Park",0.195492432703029,0.798641850115857,-0.657568461436,-0.748048943590175,-0.354245474831548,0.134589622132381,39.1373109930527,118,119,57,45,75,103,90
"Enright Park",0.666243900672686,-0.470061093730712,-0.00803711948060369,2.16263579048855,-0.583144221777012,-0.706475658159322,34.8678014239841,144,50,95,159,50,31,18
"Esplen Park",-0.81197893800865,-1.21650159277871,1.20051317587176,-0.935266522975429,0.11634429702829,0.0315299468286236,31.390808936968,8,20,145,13,107,97,3
"Fairywood Park",0.0122047102836422,-0.568970849377746,0.385416466220712,0.474688858834294,-0.262908543369929,-0.669155385139824,39.7843421503468,102,48,117,117,85,33,106
"Four Mile Run Park",-0.122657089305745,1.15617326948057,-0.990798610026523,-0.446814363659336,-0.41046458244756,-0.528354805923959,42.9628338475679,89,154,11,80,69,48,135
"Fowler Park",-0.194315253613614,-1.46749211909681,1.58718084064243,-0.965088214529333,0.235348810405578,0.880029790526689,39.4466386088441,76,17,148,7,113,147,98
"Frank Curto Park",-0.680677054588212,-1.91409469654342,2.03515774583185,-0.522938878887843,2.40378689574381,-0.423868168180559,33.9961303226295,26,8,156,72,159,55,14
"Frankfort Park",-0.124157972189265,-1.04160110681889,0.778452211389556,1.19214846576323,-0.559499376442788,-0.342872308776399,37.0312126560179,87,25,130,145,55,64,56
"Frazier Park",-0.74909662004508,1.13820337948902,-1.00574482276955,0.401000519604611,2.3217943893405,-0.41476482382075,33.8298378493836,21,153,5,112,158,57,13
"Friendship Park",0.417767518485039,0.845620773729571,-0.85770190489999,0.30938985126601,-0.6794405627909,-0.625320466362813,38.9629577511275,137,127,36,111,40,35,88
"Garland Park",0.186777091361244,-0.809395813221895,0.475057490084689,1.44646960255045,-0.571639113165789,-0.40511507311757,36.7791546692459,116,38,121,147,52,58,53
"Garvin Park",-0.352132098958023,-0.0506022263529879,0.214295058220184,-0.800166956754527,-0.17166094489801,-0.282836548674853,38.1834875180076,65,63,108,42,94,71,71
"Gladstone Park",-0.75392906326237,-1.0218696237242,1.16975233577805,-0.641634742613093,0.509561566552746,0.743474115292521,44.9457263568411,15,28,139,57,122,135,155
"Granville Park",-0.511448781271739,-1.62185277649312,1.5337772224581,0.508952235905849,1.49412212004798,-0.350655789263783,38.4846250671583,41,12,147,118,147,62,75
"Hays Park",-0.794525389828397,1.24034733814758,-0.90133868041747,-0.819095831156398,-0.42467589973761,-0.560657491421205,44.4576631259484,12,159,27,34,67,41,152
"Hays Woods",-0.943427311006329,1.35106148559081,-1.00532911189742,-0.506332888436473,-0.701593861267148,-1.41339015626312,44.2383145622198,3,161,6,73,39,1,149
"Hazelwood Senior Center",-0.75392906326237,-1.0218696237242,1.16975233577805,-0.641634742613093,0.509561566552746,0.743474115292521,44.9457263568411,15,28,139,57,122,135,160
"Herschel Park",-0.598940544723098,0.0154902800760202,0.129391879496237,-0.824525265309938,0.45397501714587,0.0727700480803995,36.0418597886264,36,66,104,30,120,101,27
"Heth's Park",0.18808289243323,0.452676965770086,-0.440803209393614,-0.12934361170099,-0.97347928584106,-0.48659589223265,39.3679754542441,117,96,78,94,20,51,97
"Homewood Park",0.248000511807227,-0.758304958742487,0.671583242778655,0.0593473487916375,-0.907016417504683,0.476679765275657,38.6398906386298,124,40,128,101,24,126,78
"Homewood Senior Center",-0.673481763556664,-2.60271090693085,2.65868813278027,-0.874853160061781,0.235963356343054,2.10169280920485,39.7789952378859,29,5,157,24,114,162,105
"Jefferson Park",-0.0820029264243312,-1.55348854801974,1.66588524669614,-0.921966007131274,0.723655926613031,0.71115886018757,43.7307904829486,94,13,151,17,135,134,148
"Joe Natoli Park",-0.416273545224801,0.912908221297105,-0.679715935140476,-0.664070103554911,-1.15062020978858,-0.838582914207407,42.2038253931786,58,133,53,55,7,21,126
"Kennard Park",-0.632450029282934,-1.51426880897199,1.66526332898599,-0.852547041076717,3.33092760984235,-0.123073095117213,34.3488950206347,33,15,150,27,162,86,15
